code_3,nom_fr,nom_scient
AME,Amélanchier,Amelanchier sp.
ARM,Aronia noir,Aronia melanocarpya
AUC,Aulne crispé,Alnus crispa var. mollis
AUR,Aulne rugueux,Alnus rugosa var. americana
BEG,Bouleau glanduleux,Betula glandulosa
BEP,Bouleau nain,Betula pumila
BOG,Bouleau gris (à feuilles de peuplier),Betula populifolia
BOJ,Bouleau jaune,Betula alleghaniensis
BOP,Bouleau à papier (blanc),Betula papyrifera
CAC,Caryer cordiforme,Carya cordiformis
CAF,Caryer ovale,Carya ovata
CAR,Charme de Caroline,Carpinus caroliniana
CEO,Micocoulier occidental,Celtis occidentalis
CET,Cerisier tardif,Prunus serotina
CHB,Chêne blanc,Quercus alba
CHE,Chêne bicolore,Quercus bicolor
CHG,Chêne à gros fruits,Quercus macrocarpa
CHR,Chêne rouge,Quercus rubra var.
COA,Cornouiller à feuilles alternes,Cornus alternifolia
COC,Noisetier à long bec,Corylus cornuta
COP,Comptonie voyageuse,Comptonia peregrina
COR,Cornouiller stolonifère,Cornus stolonifera
CRA,Aubépines,Crataegus sp.
DIE,Dièreville chèvrefeuille,Diervilla lonicera
DIR,Dirca des marais,Dirca palustris
EPB,Épinette blanche,Picea glauca
EPN,Épinette noire,Picea mariana
EPO,Épinette de Norvège,Picea abies
EPR,Épinette rouge,Picea rubens
ERA,Érable argenté,Acer saccharinum
ERB,Érable de Norvège,Acer platanoides
ERE,Érable à épis,Acer spicatum
ERG,Érable à Giguère,Acer negundo
ERN,Érable noir,Acer nigrum
ERP,Érable de Pennsylvanie,Acer pensylvarnicum
ERR,Érable rouge,Acer rubrum
ERS,Érable à sucre,Acer saccharum
FRA,Frêne d'Amérique,Fraxinus americana
FRN,Frêne noir,Fraxinus nigra
FRP,Frêne de Pennsylvanie,Fraxinus pensylvanica
HEG,Hêtre à grandes feuilles,Fagus grandifolia
ILV,Houx verticillé,Ilex verticillata
JUC,Genévrier commun,Juniperus communis
JUH,Genévrier horizontal,Juniperus horizontalis
JUN,Genévriers,Juniperus sp.
JUV,Genévrier de Virginie,Juniperus virginiana
LOH,Chèvrefeuille hirsute,Lonicera hirsuta
LON,Chèvrefeuille du Canada,Lonicera canadensis
LOV,Chèvrefeuille velu,Lonicera villosa
MAS,Pommiers,Malus sp.
MEJ,Mélèze japonais,Larix leptolepis
MEL,Mélèze laricin,Larix laricina
MEU,Mélèze européen,Larix decidua
MYG,Myrique baumier,Myrica gale
NEM,Némopanthe mucroné,Nemopanthus mucronatus
NOC,Noyer cendré,Juglans cinerea
ORA,Orme d'Amérique,Ulmus americana
ORR,Orme rouge,Ulmus rubra
ORT,Orme de Thomas,Ulmus thomasii
OSV,Ostryer de Virginie,Ostrya virginiana
PAQ,Parthénocisse à cinq folioles,Parthenocissus quinquefolia
PEB,Peuplier baumier,Populus balsamifera
PED,Peuplier deltoïde,Populus deltoides
PEG,Peuplier à grandes dents,Populus grandidentata
PEH,Peuplier hybride,Populus sp.
PET,Peuplier faux tremble,Populus tremuloides
PIB,Pin blanc,Pinus strobus
PID,Pin rigide,Pinus rigida
PIG,Pin gris,Pinus banksiana
PIR,Pin rouge,Pinus resinosa
PIS,Pin sylvestre,Pinus sylvestris
PRP,Cerisier de Pennsylvanie,Prunus pensylvanica
PRU,Pruche de l'Est,Tsuga canadensis
PRV,Cerisier de Virginie,Prunus virginiana
RHA,Nerprun à feuilles d'aulne,Rhamnus alnifolia
RHM,Nerprun cathartique,Rhamnus cathartica
RHR,Sumac grimpant,Rhus radicans
RHT,Sumac vinaigrier,Rhus typhina
RIA,Gadellier américain,Ribes americanum
RIC,Groseillier des chiens,Ribes cynosbati
RIG,Gadellier glanduleux,Ribes glandulosum
RIH,Groseillier hérissé,Ribes hirtellum
RIL,Gadellier lacustre,Ribes lacustre
RIT,Gadellier amer,Ribes triste
ROA,Rosier aciculaire,Rosa acicularis
RUA,Ronce des Alléghanys,Rubus alleghaniensis
RUD,Ronce odorante,Rubus odoratus
RUI,Framboisier rouge,Rubus idaeus
RUO,Framboisier noir,Rubus occidentalis
SAB,Sapin baumier,Abies balsamea
SAC,Sureau blanc,Sambucus canadensis
SAL,Saule,Salix sp.
SAP,Sureau pubescent,Sambucus pubens
SHP,Shépherdie du Canada,Shepherdia canadensis
SOA,Sorbier d'Amérique,Sorbus americana
SOD,Sorbier plaisant,Sorbus decora
SPL,Spirée à larges feuilles,Spiraea latifolia
SPT,Spirée tomenteuse,Spiraea tomentosa
TAC,If du Canada,Taxus canadensis
THO,Thuya occidental,Thuja occidentalis
TIL,Tilleul d'Amérique,Tilia americana
VIC,Viorne cassinoïdes,Viburnum cassinoides
VIE,Viorne comestible,Viburnum edule
VIL,Viorne bois-d'orignal,Viburnum alnifolium
VIR,Vigne des rivages,Vitis riparia
VIT,Viorne trilobée,Viburnum trilobum
