cc_bio,code_3,code_2,nom_scient,nom_fr,vc_code,vc_nom_fr,vc_nom_en,vc_genus,vc_species,vc_scientificname,vc_class,vc_order,vc_family,usda_symbol,usda_code,usda_scientific_name
Abbal,SAB,SB,Abies balsamea,Sapin baumier,7159,sapin baumier,balsam fir,Abies,balsamea,Abies balsamea (Linnaeus) Miller,Equisetopsida,Pinales,Pinaceae,ABBA,12,Abies balsamea
Acneg,ERG,,Acer negundo,Érable à Giguère,9206,Ã©rable Ã  GiguÃ¨re,Manitoba maple,Acer,negundo,Acer negundo Linnaeus,Equisetopsida,Sapindales,Sapindaceae,ACNE2,313,Acer negundo
Acnig,ERN,EI,Acer nigrum,Érable noir,9207,Ã©rable noir,black maple,Acer,nigrum,Acer nigrum F. Michaux,Equisetopsida,Sapindales,Sapindaceae,ACNI5,314,Acer nigrum
Acpen,ERP,,Acer pensylvarnicum,Érable de Pennsylvanie,9209,Ã©rable de Pennsylvanie,striped maple,Acer,pensylvanicum,Acer pensylvanicum Linnaeus,Equisetopsida,Sapindales,Sapindaceae,ACPE,315,Acer pensylvanicum
Acpla,ERB,EE,Acer platanoides,Érable de Norvège,9210,Ã©rable de NorvÃ¨ge,Norway maple,Acer,platanoides,Acer platanoides Linnaeus,Equisetopsida,Sapindales,Sapindaceae,ACPL,320,Acer platanoides
Acrub,ERR,EO,Acer rubrum,Érable rouge,9212,Ã©rable rouge,red maple,Acer,rubrum,Acer rubrum Linnaeus,Equisetopsida,Sapindales,Sapindaceae,ACRU,316,Acer rubrum
Acsac,ERS,ES,Acer saccharum,Érable à sucre,9214,Ã©rable Ã  sucre,sugar maple,Acer,saccharum,Acer saccharum Marshall,Equisetopsida,Sapindales,Sapindaceae,ACSA3,318,Acer saccharum
Acsaci,ERA,EA,Acer saccharinum,Érable argenté,9213,Ã©rable argentÃ©,silver maple,Acer,saccharinum,Acer saccharinum Linnaeus,Equisetopsida,Sapindales,Sapindaceae,ACSA2,317,Acer saccharinum
Acspi,ERE,,Acer spicatum,Érable à épis,,,,,,,,,,,,
Alcri,AUC,,Alnus crispa var. mollis,Aulne crispé,,,,,,,,,,,,
Alrug,AUR,,Alnus rugosa var. americana,Aulne rugueux,,,,,,,,,,,,
Armel,ARM,,Aronia melanocarpya,Aronia noir,,,,,,,,,,,,
Beall,BOJ,BJ,Betula alleghaniensis,Bouleau jaune,3685,bouleau jaune,yellow birch,Betula,alleghaniensis,Betula alleghaniensis Britton,Equisetopsida,Fagales,Betulaceae,BEAL2,371,Betula alleghaniensis
Begla,BEG,,Betula glandulosa,Bouleau glanduleux,,,,,,,,,,,,
Bepap,BOP,BP,Betula papyrifera,Bouleau à papier (blanc),3697,bouleau Ã  papier,paper birch,Betula,papyrifera,Betula papyrifera Marshall,Equisetopsida,Fagales,Betulaceae,BEPA,375,Betula papyrifera
Bepop,BOG,,Betula populifolia,Bouleau gris (à feuilles de peuplier),3699,bouleau gris,grey birch,Betula,populifolia,Betula populifolia Marshall,Equisetopsida,Fagales,Betulaceae,BEPO,379,Betula populifolia
Bepum,BEP,,Betula pumila,Bouleau nain,,,,,,,,,,,,
Cacar,CAR,,Carpinus caroliniana,Charme de Caroline,3720,charme de Caroline,blue-beech,Carpinus,caroliniana,Carpinus caroliniana Walter,Equisetopsida,Fagales,Betulaceae,CACA18,391,Carpinus caroliniana
Cacor,CAC,CC,Carya cordiformis,Caryer cordiforme,6235,caryer cordiforme,bitternut hickory,Carya,cordiformis,Carya cordiformis (Wangenheim) K. Koch,Equisetopsida,Fagales,Juglandaceae,CACO15,402,Carya cordiformis
Caova,CAF,CF,Carya ovata,Caryer ovale,6239,caryer ovale,shagbark hickory,Carya,ovata,Carya ovata (Miller) K. Koch,Equisetopsida,Fagales,Juglandaceae,CAOV2,407,Carya ovata
Ceocc,CEO,,Celtis occidentalis,Micocoulier occidental,4192,micocoulier occidental,common hackberry,Celtis,occidentalis,Celtis occidentalis Linnaeus,Equisetopsida,Rosales,Cannabaceae,CEOC,462,Celtis occidentalis
Coalt,COA,,Cornus alternifolia,Cornouiller à feuilles alternes,,,,,,,,,,,,
Cocor,COC,,Corylus cornuta,Noisetier à long bec,,,,,,,,,,,,
Coper,COP,,Comptonia peregrina,Comptonie voyageuse,,,,,,,,,,,,
Costo,COR,,Cornus stolonifera,Cornouiller stolonifère,,,,,,,,,,,,
Dilon,DIE,,Diervilla lonicera,Dièreville chèvrefeuille,,,,,,,,,,,,
Dipal,DIR,,Dirca palustris,Dirca des marais,,,,,,,,,,,,
Fagra,HEG,HG,Fagus grandifolia,Hêtre à grandes feuilles,5957,hÃªtre Ã  grandes feuilles,American beech,Fagus,grandifolia,Fagus grandifolia Ehrhart,Equisetopsida,Fagales,Fagaceae,FAGR,531,Fagus grandifolia
Frame,FRA,FA,Fraxinus americana,Frêne d'Amérique,6726,frÃªne blanc,white ash,Fraxinus,americana,Fraxinus americana Linnaeus,Equisetopsida,Lamiales,Oleaceae,FRAM2,541,Fraxinus americana
Frnig,FRN,FO,Fraxinus nigra,Frêne noir,6729,frÃªne noir,black ash,Fraxinus,nigra,Fraxinus nigra Marshall,Equisetopsida,Lamiales,Oleaceae,FRNI,543,Fraxinus nigra
Frpen,FRP,FP,Fraxinus pensylvanica,Frêne de Pennsylvanie,6730,frÃªne rouge,red ash,Fraxinus,pennsylvanica,Fraxinus pennsylvanica Marshall,Equisetopsida,Lamiales,Oleaceae,FRPE,544,Fraxinus pennsylvanica
Ilver,ILV,,Ilex verticillata,Houx verticillé,,,,,,,,,,,,
Jucin,NOC,NC,Juglans cinerea,Noyer cendré,6242,noyer cendrÃ©,butternut,Juglans,cinerea,Juglans cinerea Linnaeus,Equisetopsida,Fagales,Juglandaceae,JUCI,601,Juglans cinerea
Jucom,JUC,,Juniperus communis,Genévrier commun,,,,,,,,,,,,
