"","CODE_CCBIO","GENUS","SPECIES","COMMON_NAME","SPECIES_SYMBOL","SPCD","NB_PARCELLES","LAT_MAX"
"11","Acsac","Acer","saccharinum","silver maple","ACSA2",317,431189,61.223755
"12","Acsac","Acer","saccharum","sugar maple","ACSA3",318,581323,61.513154
"35","Cacar","Carpinus","caroliniana","American hornbeam, musclewood","CACA18",391,512945,61.354273
"36","Cacar","Carya","carolinae-septentrionalis","southern shagbark hickory","CACA38",413,21252,61.191916
"46","Caova","Carya","ovalis","red hickory","CAOV3",412,116010,60.679921
"47","Caova","Carya","ovata","shagbark hickory","CAOV2",407,496151,61.484498
"126","Pigla","Picea","glauca","white spruce","PIGL",94,499739,61.449892
"127","Pigla","Pinus","glabra","spruce pine","PIGL2",115,291589,61.191916
"133","Pipun","Picea","pungens","blue spruce","PIPU",96,26382,61.191916
"134","Pipun","Pinus","pungens","Table Mountain pine","PIPU5",123,256810,61.191916
"174","Qumar","Quercus","margarettiae","dwarf post oak","QUMA6",840,307369,61.191916
"175","Qumar","Quercus","marilandica","blackjack oak","QUMA3",824,419905,61.191916
"184","Qupri","Quercus","prinoides","dwarf chinkapin oak","QUPR",845,3984,49.31
"185","Qupri","Quercus","prinus","chestnut oak","QUPR2",832,441432,61.484498
"195","Saalb","Salix","alba","white willow","SAAL2",927,16625,59.934828
"196","Saalb","Sassafras","albidum","sassafras","SAAL5",931,507507,61.449892
