ESSENCE,ESS,CODE_CCBIO,NOM_LATIN,NOM_FRANCAIS,FAMILLE
SB,SAB,Abbal,Abies balsamea (L.) Mill.,Sapin baumier,Pinaceae
,,Acbar,Acer barbatum Michx. ,Érable de Floride,Sapindaceae 
,,Acneg,Acer negundo L.,Érable négondo,Sapindaceae 
EI,ERN,Acnig,Acer nigrum Michx.,Érable noir,Sapindaceae 
,ERP,Acpen,Acer pensylvanicum L.,Érable de Pennsylvanie,Sapindaceae 
,,,Acer platanoïdes,Érable de Norvège,Sapindaceae 
EO,ERR,Acrub,Acer rubrum L.,Érable rouge,Sapindaceae 
EA,ERA,Acsaci,Acer saccharinum L.,Érable argenté,Sapindaceae 
ES,ERS,Acsac,Acer saccharum Marshall,Érable à sucre,Sapindaceae 
,,Aegla,Aesculus glabra Willd.,Marronnier de l'Ohio,Sapindaceae 
,,Aefla,Aesculus flava Aiton,Marronnier à fleurs jaunes,Sapindaceae 
,,Alglu,Alnus glutinosa (L.) Gaertn.,Aulne glutineux,Betulaceae
,,Astri,Asimina triloba (L.) Dunal,Asiminier trilobé,Annonaceae
BJ,BOJ,Beall,Betula alleghaniensis Britton,Bouleau jaune,Betulaceae
,,Belen,Betula lenta L.,Bouleau flexible,Betulaceae
,,Benig,Betula nigra L.,Bouleau noir,Betulaceae
BP,BOP,Bepap,Betula papyrifera Marshall,Bouleau à papier,Betulaceae
BG,BOG,Bepop,Betula populifolia Marshall,Bouleau gris,Betulaceae
,,Cacar,Carpinus caroliniana Walter,Charme américain,Betulaceae
,,Caaqu,Carya aquatica (F. Michx.) Nutt.,Pacanier aquatique,Juglandaceae
CC,CAC,Cacor,Carya cordiformis (Wangenh.) K. Koch,Caryer cordiforme,Juglandaceae
,,Cagla,Carya glabra (Mill.) Sweet,Caryer glabre,Juglandaceae
,,Caill,Carya illinoinensis (Wangenh.) C. Koch,Pacanier,Juglandaceae
,,Calac,Carya laciniosa Michx. f.,Caryer lacinié,Juglandaceae
CF,CAF,Caova,Carya ovata (Mill.) K. Koch,Caryer ovale,Juglandaceae
,,Caalb,Carya alba (Mill.) K. Koch,Caryer tomenteux,Juglandaceae
,,Caden,Castanea dentata (Marsh.) Borkh.,Châtaignier d'Amérique,Fagaceae
,,Caspe,Catalpa speciosa Warder,Catalpa à feuilles cordées,Bignoniaceae
,,Celae,Celtis laevigata Willd.,Micocoulier du Mississippi,Ulmaceae
,,Ceocc,Celtis occidentalis L.,Micocoulier occidental,Ulmaceae
,,Cecan,Cercis canadensis L.,Gainier du Canada,Fabaceae
,,Chthy,Chamaecyparis thyoides (L.) Britton et al.,Cyprès blanc de l'Atlantique,Cupressaceae
,,Coflo,Cornus florida L.,Cornouiller fleuri,Cornaceae
,,Divir,Diospyros virginiana L.,Plaqueminier de Virginie,Ebenaceae
HG,HEG,Fagra,Fagus grandifolia Ehrh.,Hêtre à grandes feuilles,Fagaceae
FA,FRA,Frame,Fraxinus americana L.,Frêne blanc,Oleaceae
