"code_ccbio","genus","species","common_name","species_symbol","spcd","nb_parcelles","lat_max","essence","ess","nom_latin","nom_francais","famille"
"Abbal","Abies","balsamea","balsam fir","ABBA","12","527172","61.513154","SB","SAB","Abies balsamea (L.) Mill.","Sapin baumier","Pinaceae"
"Abcon","Abies","concolor","white fir","ABCO","15","951","48.989209","","","","",""
"Abfra","Abies","fraseri","Fraser fir","ABFR","16","45304","60.37582","","","","",""
"Acbar","Acer","barbatum","Florida maple","ACBA3","311","291047","61.191916","","","Acer barbatum Michx.","Érable de Floride","Sapindaceae"
"Acleu","Acer","leucoderme","chalk maple","ACLE","323","78998","61.191916","","","","",""
"Acneg","Acer","negundo","boxelder","ACNE2","313","498259","61.411785","","","Acer negundo L.","Érable négondo","Sapindaceae"
"Acnig","Acer","nigrum","black maple","ACNI5","314","209765","61.191916","EI","ERN","Acer nigrum Michx.","Érable noir","Sapindaceae"
"Acpen","Acer","pensylvanicum","striped maple","ACPE","315","442394","61.513154","","ERP","Acer pensylvanicum L.","Érable de Pennsylvanie","Sapindaceae"
"Acpla","Acer","platanoides","Norway maple","ACPL","320","57642","61.315297","","","","",""
"Acrub","Acer","rubrum","red maple","ACRU","316","602256","61.513154","EO","ERR","Acer rubrum L.","Érable rouge","Sapindaceae"
"Acsac","Acer","saccharum","sugar maple","ACSA3","318","581323","61.513154","ES","ERS","Acer saccharum Marshall","Érable à sucre","Sapindaceae"
"Acsaci","Acer","saccharinum","silver maple","ACSA2","317","431189","61.223755","EA","ERA","Acer saccharinum L.","Érable argenté","Sapindaceae"
"Acspi","Acer","spicatum","mountain maple","ACSP2","319","381069","61.484498","","","","",""
"Aecal","Aesculus","californica","California buckeye","AECA","333","14516","48.94048","","","","",""
"Aefla","Aesculus","flava","yellow buckeye","AEFL","332","263951","61.292216","","","Aesculus flava Aiton","Marronnier à fleurs jaunes","Sapindaceae"
